,class,k,accuracy,precision,recall
71,AquaticAnimal,1,0.9877852826164242,0.3448275862068966,0.02378121284185493
72,Bed,1,0.9884994272623144,0.2777777777777778,0.0205761316872428
73,Bicycle,1,0.9894052339413164,0.5769230769230769,0.04437869822485207
74,Biplane,1,0.9810950744558993,0.28888888888888886,0.012839506172839505
75,Bird,1,0.9812746016869724,0.14772727272727273,0.0067148760330578506
76,Bookset,1,0.9919999999999998,0.65,0.06500000000000002
77,Bottle,1,0.9868440305952774,0.27419354838709675,0.01768990634755463
78,BuildingNonResidential,1,0.981673459602013,0.13953488372093023,0.006489994591671172
79,Bus,1,0.9911340206185569,0.125,0.0125
80,Car,1,0.9637675726335515,0.5340909090909091,0.01213842975206611
81,Cellphone,1,0.9914704286489421,0.07894736842105263,0.008310249307479223
82,Chess,1,0.984026044492675,0.3157894736842105,0.016620498614958443
83,City,1,0.9888659793814428,0.25,0.019230769230769225
84,ClassicPiano,1,0.9913402061855672,0.25,0.025
85,Computer,1,0.9871065292096223,0.18333333333333332,0.012222222222222221
86,ComputerKeyboard,1,0.9916701030927836,0.45,0.045
87,Cup,1,0.9881328751431849,0.05555555555555555,0.004115226337448559
88,DeskLamp,1,0.9867376122381109,0.20967741935483872,0.013527575442247657
89,DeskPhone,1,0.9910927835051548,0.1,0.01
90,Door,1,0.9820187005514258,0.3488372093023256,0.01622498647917794
91,Drum,1,0.9916440586001087,0.18421052631578946,0.019390581717451522
92,Fish,1,0.9917113402061855,0.475,0.0475
93,FloorLamp,1,0.9880412371134025,0.0,0.0
94,Glasses,1,0.9910927835051548,0.1,0.01
95,Guitar,1,0.9910103092783509,0.05,0.005
96,Gun,1,0.9756843227870603,0.25862068965517243,0.008917954815695598
97,Hand,1,0.9846531067149631,0.44594594594594594,0.024105186267348422
98,Hat,1,0.9933195876288663,0.2,0.026666666666666665
99,Helicopter,1,0.9787911865777237,0.39215686274509803,0.015378700499807767
100,House,1,0.9806735395189008,0.03333333333333333,0.0014814814814814814
101,HumanHead,1,0.9786779866585809,0.3235294117647059,0.012687427912341408
102,Humanoid,1,0.9415710759401763,0.5774647887323944,0.008133306883554842
103,Insect,1,0.9723961262105597,0.26515151515151514,0.008034894398530758
104,Jet,1,0.9413769735419235,0.7097902097902098,0.009927135801261679
105,Knife,1,0.9895257731958763,0.4,0.03200000000000001
106,MilitaryVehicle,1,0.9914226804123712,0.3,0.030000000000000006
107,Monitor,1,0.9911340206185569,0.125,0.0125
108,Monoplane,1,0.9911752577319589,0.15,0.015
109,Motorcycle,1,0.9892783505154639,0.5,0.03846153846153845
110,Mug,1,0.9892288659793816,0.22,0.017599999999999998
111,MultiSeat,1,0.9812233676975943,0.36666666666666664,0.016296296296296295
112,Musical_Instrument,1,0.9905154639175254,0.0,0.0
113,NonWheelChair,1,0.9769447047797563,0.2727272727272727,0.009917355371900827
114,PianoBoard,1,0.9920781334780252,0.4473684210526316,0.04709141274238227
115,PlantIndoors,1,0.9726249008723235,0.15384615384615385,0.004733727810650888
116,PlantWildNonTree,1,0.9882245131729671,0.1111111111111111,0.008230452674897118
117,Quadruped,1,0.976046301320311,0.22807017543859648,0.008002462296091105
118,RectangleTable,1,0.9760752396455054,0.24561403508771928,0.008618036318867343
119,Rocket,1,0.9912577319587632,0.2,0.019999999999999997
120,RoundTable,1,0.986288659793815,0.1875,0.01171875
121,Shelf,1,0.9834945810203541,0.24358974358974358,0.012491781722550955
122,Ship,1,0.9738875956102434,0.1693548387096774,0.005463059313215397
123,Sign,1,0.9934020618556704,0.0,0.0
124,Skyscraper,1,0.991134020618557,0.125,0.0125
125,Spoon,1,0.9920733104238258,0.19444444444444445,0.021604938271604937
126,Starship,1,0.9867110076488189,0.1935483870967742,0.012486992715920912
127,SubmachineGun,1,0.9912989690721652,0.225,0.0225
128,Sword,1,0.9784298176050753,0.4230769230769231,0.01627218934911243
129,Tool,1,0.9832164948453604,0.325,0.016250000000000007
130,Train,1,0.9876999644507641,0.29310344827586204,0.020214030915576695
131,Tree,1,0.980313760645451,0.06521739130434782,0.0028355387523629487
132,Truck,1,0.9883466972126771,0.18518518518518517,0.013717421124828532
133,TruckNonContainer,1,0.9917308735756919,0.23684210526315788,0.02493074792243767
134,Vase,1,0.9914270211611503,0.05263157894736842,0.00554016620498615
135,Violin,1,0.9918350515463918,0.55,0.05500000000000001
136,Wheel,1,0.9929381443298969,0.21875,0.02734375
137,WheelChair,1,0.991216494845361,0.175,0.017499999999999998
138,AircraftBuoyant,2,0.992577319587629,0.16666666666666666,0.03125
139,Apartment,2,0.9898781630740394,0.07575757575757575,0.010330578512396695
140,AquaticAnimal,2,0.9875435478137221,0.2988505747126437,0.03091557669441141
141,Bed,2,0.9882397861779304,0.24691358024691357,0.027434842249657063
142,Bicycle,2,0.9893100713719272,0.5128205128205128,0.05917159763313609
143,Biplane,2,0.9807376861397482,0.2148148148148148,0.014320987654320987
144,Bird,2,0.9808809746954078,0.10606060606060605,0.007231404958677684
145,Bookset,2,0.9920412371134022,0.6166666666666666,0.09250000000000001
146,Bottle,2,0.9865646824077158,0.23655913978494622,0.02289281997918834
147,BuildingNonResidential,2,0.9813186286262285,0.11627906976744184,0.008112493239588965
148,Bus,2,0.9908453608247421,0.13333333333333333,0.019999999999999997
149,Car,2,0.9636925960637299,0.4924242424242427,0.016787190082644638
150,Cellphone,2,0.9911014650027132,0.07017543859649122,0.0110803324099723
151,Chess,2,0.9838307107976129,0.2982456140350877,0.023545706371191133
152,City,2,0.988453608247423,0.16666666666666666,0.019230769230769225
153,ClassicPiano,2,0.9910103092783507,0.19999999999999998,0.03
154,Computer,2,0.9867766323024051,0.15555555555555553,0.015555555555555553
155,ComputerKeyboard,2,0.9915051546391751,0.4,0.06
156,Cup,2,0.9877510500190912,0.04938271604938271,0.0054869684499314125
157,DeskLamp,2,0.9864582640505491,0.19354838709677416,0.018730489073881373
158,DeskPhone,2,0.9906804123711337,0.06666666666666667,0.01
159,Door,2,0.9817789498921125,0.302325581395349,0.021092482422931325
160,Drum,2,0.9913185024416712,0.15789473684210525,0.02493074792243767
161,Fish,2,0.9914226804123711,0.36666666666666664,0.05500000000000001
162,FloorLamp,2,0.987659411989309,0.012345679012345678,0.0013717421124828531
163,Glasses,2,0.9907216494845358,0.08333333333333333,0.0125
