,class,k,accuracy,precision,recall
395,Rocket,5,0.9899793814432989,0.14166666666666666,0.042499999999999996
396,RoundTable,5,0.9849999999999998,0.13541666666666669,0.025390625
397,Shelf,5,0.9824160719006075,0.19658119658119663,0.030243261012491775
398,Ship,5,0.9725174592617234,0.11290322580645167,0.010926118626430795
399,Sign,5,0.9918703976435934,0.023809523809523808,0.01020408163265306
400,Skyscraper,5,0.9896494845360824,0.075,0.0225
401,Spoon,5,0.9908361970217641,0.14814814814814814,0.04938271604938272
402,Starship,5,0.9852743598270703,0.10752688172043011,0.020811654526534856
403,SubmachineGun,5,0.9899793814432991,0.14166666666666666,0.0425
404,Sword,5,0.9777160983346551,0.3301282051282052,0.03809171597633136
405,Tool,5,0.9819793814432991,0.19166666666666674,0.028749999999999998
406,Train,5,0.9863917525773194,0.16666666666666666,0.03448275862068964
407,Tree,5,0.9787180636485876,0.03260869565217391,0.004253308128544423
408,Truck,5,0.9872164948453604,0.1666666666666667,0.03703703703703703
409,TruckNonContainer,5,0.9905588714053173,0.17543859649122806,0.05540166204986148
410,Vase,5,0.9899511665762342,0.05263157894736842,0.016620498614958446
411,Violin,5,0.9916701030927835,0.4833333333333333,0.145
412,Wheel,5,0.991701030927835,0.15625000000000003,0.05859375
413,WheelChair,5,0.9901443298969074,0.175,0.052500000000000005
